density speed
0.829 104
0.905 107
1.25 104
1.26 100
1.35 102
1.33 108
1.69 106
1.70 100
1.73 103
1.78 107
2.16 106
2.15 101
2.30 109
2.17 99.4
2.61 105
2.59 102
2.71 108
3.04 106
3.05 103
3.51 105
3.48 103
3.94 104
4.30 104
4.70 109
4.84 105
5.20 108
5.23 104
5.31 106
5.78 107
6.18 105
6.49 108
6.91 108
6.98 106
7.22 104
7.35 109
7.35 107
7.67 105
7.61 103
7.81 108
8.09 105
8.25 109
8.24 107
8.46 104
8.71 108
8.89 104
9.15 108
9.57 106
9.56 110
9.54 108
10.1 108
10.7 102
10.9 106
11.2 108
11.3 105
11.6 107
12.1 102
12.6 102
12.9 106
13.0 103
13.4 103
13.5 100
13.9 95.7
14.0 104
14.0 101
14.4 105
14.4 103
14.4 101
14.6 99.2
14.8 104
14.9 102
15.0 99.2
15.3 104
15.3 102
15.5 100
15.4 97.8
15.9 99.4
16.2 92.7
16.3 103
16.3 101
16.3 99.0
16.3 97.2
16.5 87.8
16.8 103
16.8 98.1
16.9 96.5
16.9 87.4
17.1 86.4
17.3 102
17.2 99.7
17.5 87.9
17.7 103
17.7 100
17.7 88.2
18.2 101
18.4 93.8
18.5 85.2
18.5 88.4
18.6 101
18.8 93.7
18.9 83.3
18.9 88.4
19.1 101
19.2 81.9
19.2 84.3
19.7 98.6
19.9 84.0
19.9 96.6
19.9 101
20.2 98.9
20.2 94.8
20.4 101
20.7 99.3
20.9 97.8
21.0 79.3
21.0 93.6
21.0 100
21.1 86.7
21.6 83.0
21.7 91.9
22.0 75.7
22.1 91.4
22.5 93.6
22.7 89.2
23.5 73.8
23.6 77.8
24.0 90.5
24.2 87.9
24.2 91.1
24.4 88.0
24.7 72.7
25.1 80.8
26.6 58.8
28.5 74.8
28.7 63.8
28.9 70.8
29.2 53.0
29.5 54.7
30.1 70.8
30.5 45.8
30.7 57.9
30.8 68.7
31.0 55.4
31.8 50.6
32.0 45.6
32.2 52.0
32.7 49.3
32.7 52.3
33.6 41.8
34.4 60.8
34.5 43.7
36.9 37.8
37.0 29.7
37.7 37.8
38.8 35.8
39.9 28.8
40.9 29.7
41.2 17.8
41.8 30.8
42.2 29.7
45.6 26.8
46.9 22.8
47.9 25.8
48.6 21.9
53.2 21.9
56.9 19.8
1.13 106
2.26 104
6.39 104
2.67 101
4.37 107
3.96 108
3.96 106
4.37 106
5.74 103
5.42 105
7.84 104
8.73 107
9.22 110
10.7 107
11.9 106
12.2 106
42.8 30.2
34.6 40.2
34.4 41.4
33.1 49.2
32.1 48.8
31.7 49.2
21.3 80.1
21.7 95.0
10.0 105
13.2 102
14.6 96.1
15.8 106
15.7 104
17.5 96.1
20.5 83.9

